start_date,waterlevel
2/1/1981,1.007
3/1/1981,0.976
4/1/1981,0.943
5/1/1981,0.981
6/1/1981,1.206
7/1/1981,1.215
8/1/1981,1.17
9/1/1981,1.109
10/1/1981,1.22
11/1/1981,1.223
12/1/1981,1.06
1/1/1982,1.097
2/1/1982,1.101
3/1/1982,1.142
4/1/1982,1.038
5/1/1982,1.054
6/1/1982,1.103
7/1/1982,1.143
8/1/1982,1.15
9/1/1982,1.062
10/1/1982,1.069
11/1/1982,1.079
12/1/1982,1.101
1/1/1983,1.116
2/1/1983,1.104
3/1/1983,1.107
4/1/1983,1.153
5/1/1983,1.212
6/1/1983,1.131
7/1/1983,1.128
8/1/1983,1.129
9/1/1983,1.121
10/1/1983,1.145
11/1/1983,1.123
12/1/1983,1.116
1/1/1984,1.161
2/1/1984,1.167
3/1/1984,1.091
4/1/1984,1.121
5/1/1984,1.106
6/1/1984,1.086
7/1/1984,1.096
8/1/1984,1.184
9/1/1984,1.161
10/1/1984,1.155
11/1/1984,1.207
12/1/1984,1.173
1/1/1985,1.119
2/1/1985,1.113
3/1/1985,1.103
4/1/1985,1.107
5/1/1985,1.11
6/1/1985,1.109
7/1/1985,1.145
8/1/1985,1.136
9/1/1985,1.124
10/1/1985,1.063
11/1/1985,1.225
12/1/1985,1.191
1/1/1986,1.173
2/1/1986,1.234
3/1/1986,1.163
4/1/1986,1.196
5/1/1986,1.236
6/1/1986,1.143
7/1/1986,1.142
8/1/1986,1.141
9/1/1986,1.183
10/1/1986,1.19
11/1/1986,1.234
12/1/1986,1.168
1/1/1987,1.188
2/1/1987,1.217
3/1/1987,1.223
4/1/1987,1.136
5/1/1987,1.158
6/1/1987,1.234
7/1/1987,1.184
8/1/1987,1.13
9/1/1987,1.128
10/1/1987,1.137
11/1/1987,1.161
12/1/1987,1.175
1/1/1988,1.137
2/1/1988,1.169
3/1/1988,1.074
4/1/1988,1.075
5/1/1988,1.163
6/1/1988,1.141
7/1/1988,1.092
8/1/1988,1.119
9/1/1988,1.106
10/1/1988,1.187
11/1/1988,1.1
12/1/1988,1.115
1/1/1989,1.115
2/1/1989,1.109
3/1/1989,1.22
4/1/1989,1.203
5/1/1989,1.177
6/1/1989,1.052
7/1/1989,1.122
8/1/1989,1.138
9/1/1989,1.118
10/1/1989,1.161
11/1/1989,1.084
12/1/1989,1.053
1/1/1990,1.09
2/1/1990,1.115
3/1/1990,1.075
4/1/1990,1.128
5/1/1990,1.164
6/1/1990,1.183
7/1/1990,1.104
8/1/1990,1.102
9/1/1990,1.144
10/1/1990,1.203
11/1/1990,1.158
12/1/1990,1.125
1/1/1991,1.193
2/1/1991,1.231
3/1/1991,1.191
4/1/1991,1.249
5/1/1991,1.158
6/1/1991,1.127
7/1/1991,1.109
8/1/1991,1.038
9/1/1991,1.102
10/1/1991,1.151
11/1/1991,1.21
12/1/1991,1.153
1/1/1992,1.24
2/1/1992,1.199
3/1/1992,1.132
4/1/1992,1.198
5/1/1992,1.076
6/1/1992,1.11
7/1/1992,1.187
8/1/1992,1.112
9/1/1992,1.086
10/1/1992,1.138
11/1/1992,1.099
12/1/1992,1.154
1/1/1993,1.155
2/1/1993,1.145
3/1/1993,1.088
4/1/1993,1.099
5/1/1993,1.096
6/1/1993,1.17
7/1/1993,1.166
8/1/1993,1.185
9/1/1993,1.153
10/1/1993,1.122
11/1/1993,1.199
12/1/1993,1.119
1/1/1994,1.174
2/1/1994,1.212
3/1/1994,1.139
4/1/1994,1.108
5/1/1994,1.196
6/1/1994,1.25
7/1/1994,1.159
8/1/1994,1.089
9/1/1994,1.109
10/1/1994,1.107
11/1/1994,1.079
12/1/1994,1.07
1/1/1995,1.116
2/1/1995,1.127
3/1/1995,1.136
4/1/1995,1.131
5/1/1995,1.144
6/1/1995,1.116
7/1/1995,1.129
8/1/1995,1.093
9/1/1995,1.151
10/1/1995,1.108
11/1/1995,1.113
12/1/1995,1.117
1/1/1996,1.125
2/1/1996,1.033
3/1/1996,1.069
4/1/1996,1.1
5/1/1996,1.106
6/1/1996,1.109
7/1/1996,1.119
8/1/1996,1.188
9/1/1996,1.186
10/1/1996,1.121
11/1/1996,1.212
12/1/1996,1.129
1/1/1997,1.183
2/1/1997,1.186
3/1/1997,1.166
4/1/1997,1.123
